customer_id,name,email,region,country,city,segment,is_active,created_at
30,Customer 30,c30@clean.example,Nord,DE,Köln,enterprise,true,2025-01-31
31,Customer 31,c31@clean.example,Süd,DE,Berlin,public,true,2025-02-01
32,Customer 32,c32@clean.example,West,DE,Stuttgart,smb,true,2025-02-02
33,Customer 33,c33@clean.example,Ost,DE,Leipzig,midmarket,false,2025-02-03
34,Customer 34,c34@clean.example,Export,DE,Frankfurt,enterprise,true,2025-02-04
35,Customer 35,c35@clean.example,Nord,DE,Hamburg,public,true,2025-02-05
36,Customer 36,c36@clean.example,Süd,DE,München,smb,true,2025-02-06
37,Customer 37,c37@clean.example,West,DE,Köln,midmarket,true,2025-02-07
38,Customer 38,c38@clean.example,Ost,DE,Berlin,enterprise,true,2025-02-08
39,Customer 39,c39@clean.example,Export,DE,Stuttgart,public,true,2025-02-09
40,Customer 40,c40@clean.example,Nord,DE,Leipzig,smb,true,2025-02-10
41,Customer 41,c41@clean.example,Süd,DE,Frankfurt,midmarket,true,2025-02-11
42,Customer 42,c42@clean.example,West,DE,Hamburg,enterprise,true,2025-02-12
43,Customer 43,c43@clean.example,Ost,DE,München,public,true,2025-02-13
44,Customer 44,c44@clean.example,Export,DE,Köln,smb,false,2025-02-14
45,Customer 45,c45@clean.example,Nord,DE,Berlin,midmarket,true,2025-02-15
46,Customer 46,c46@clean.example,Süd,DE,Stuttgart,enterprise,true,2025-02-16
47,Customer 47,c47@clean.example,West,DE,Leipzig,public,true,2025-02-17
48,Customer 48,c48@clean.example,Ost,DE,Frankfurt,smb,true,2025-02-18
49,Customer 49,c49@clean.example,Export,DE,Hamburg,midmarket,true,2025-02-19
50,Customer 50,c50@clean.example,Nord,DE,München,enterprise,true,2025-02-20
51,Customer 51,c51@clean.example,Süd,DE,Köln,public,true,2025-02-21
52,Customer 52,c52@clean.example,West,DE,Berlin,smb,true,2025-02-22
53,Customer 53,c53@clean.example,Ost,DE,Stuttgart,midmarket,true,2025-02-23
54,Customer 54,c54@clean.example,Export,DE,Leipzig,enterprise,true,2025-02-24
55,Customer 55,c55@clean.example,Nord,DE,Frankfurt,public,false,2025-02-25
56,Customer 56,c56@clean.example,Süd,DE,Hamburg,smb,true,2025-02-26
57,Customer 57,c57@clean.example,West,DE,München,midmarket,true,2025-02-27
58,Customer 58,c58@clean.example,Ost,DE,Köln,enterprise,true,2025-02-28
59,Customer 59,c59@clean.example,Export,DE,Berlin,public,true,2025-03-01
60,Customer 60,c60@clean.example,Nord,DE,Stuttgart,smb,true,2025-03-02
61,Customer 61,c61@clean.example,Süd,DE,Leipzig,midmarket,true,2025-03-03
62,Customer 62,c62@clean.example,West,DE,Frankfurt,enterprise,true,2025-03-04
63,Customer 63,c63@clean.example,Ost,DE,Hamburg,public,true,2025-03-05
64,Customer 64,c64@clean.example,Export,DE,München,smb,true,2025-03-06
65,Customer 65,c65@clean.example,Nord,DE,Köln,midmarket,true,2025-03-07
66,Customer 66,c66@clean.example,Süd,DE,Berlin,enterprise,false,2025-03-08
67,Customer 67,c67@clean.example,West,DE,Stuttgart,public,true,2025-03-09
68,Customer 68,c68@clean.example,Ost,DE,Leipzig,smb,true,2025-03-10
69,Customer 69,c69@clean.example,Export,DE,Frankfurt,midmarket,true,2025-03-11
70,Customer 70,c70@clean.example,Nord,DE,Hamburg,enterprise,true,2025-03-12
71,Customer 71,c71@clean.example,Süd,DE,München,public,true,2025-03-13
72,Customer 72,c72@clean.example,West,DE,Köln,smb,true,2025-03-14
73,Customer 73,c73@clean.example,Ost,DE,Berlin,midmarket,true,2025-03-15
74,Customer 74,c74@clean.example,Export,DE,Stuttgart,enterprise,true,2025-03-16
75,Customer 75,c75@clean.example,Nord,DE,Leipzig,public,true,2025-03-17
76,Customer 76,c76@clean.example,Süd,DE,Frankfurt,smb,true,2025-03-18
77,Customer 77,c77@clean.example,West,DE,Hamburg,midmarket,false,2025-03-19
78,Customer 78,c78@clean.example,Ost,DE,München,enterprise,true,2025-03-20
79,Customer 79,c79@clean.example,Export,DE,Köln,public,true,2025-03-21
80,Customer 80,c80@clean.example,Nord,DE,Berlin,smb,true,2025-03-22
