usr_id,firma_nr,mail,rolle_txt,aktiv_kz,anlagedat
116,116,u116@cloud.local,adm,true,2022-09-28
117,117,u117@cloud.local,usr,true,2022-09-28
118,118,u118@cloud.local,usr,true,2022-09-29
119,119,u119@cloud.local,adm,true,2022-09-29
120,120,u120@cloud.local,adm,true,2022-09-30
121,1,u121@cloud.local,usr,false,2022-09-30
122,2,u122@cloud.local,bill,true,2022-10-01
123,3,u123@cloud.local,bill,true,2022-10-01
124,4,u124@cloud.local,usr,true,2022-10-02
125,5,u125@cloud.local,bill,true,2022-10-02
126,6,u126@cloud.local,usr,true,2022-10-03
127,7,u127@cloud.local,bill,true,2022-10-03
128,8,u128@cloud.local,bill,true,2022-10-04
129,9,u129@cloud.local,adm,true,2022-10-04
130,10,u130@cloud.local,usr,true,2022-10-05
131,11,u131@cloud.local,bill,true,2022-10-05
132,12,u132@cloud.local,usr,false,2022-10-06
133,13,u133@cloud.local,bill,true,2022-10-06
134,14,u134@cloud.local,usr,true,2022-10-07
135,15,u135@cloud.local,usr,true,2022-10-07
136,16,u136@cloud.local,bill,true,2022-10-08
137,17,u137@cloud.local,adm,true,2022-10-08
138,18,u138@cloud.local,bill,true,2022-10-09
139,19,u139@cloud.local,bill,true,2022-10-09
140,20,u140@cloud.local,bill,true,2022-10-10
141,21,u141@cloud.local,adm,true,2022-10-10
142,22,u142@cloud.local,adm,true,2022-10-11
143,23,u143@cloud.local,usr,false,2022-10-11
144,24,u144@cloud.local,bill,true,2022-10-12
145,25,u145@cloud.local,usr,true,2022-10-12
146,26,u146@cloud.local,bill,true,2022-10-13
147,27,u147@cloud.local,adm,true,2022-10-13
148,28,u148@cloud.local,adm,true,2022-10-14
149,29,u149@cloud.local,adm,true,2022-10-14
150,30,u150@cloud.local,bill,true,2022-10-15
151,31,u151@cloud.local,usr,true,2022-10-15
152,32,u152@cloud.local,usr,true,2022-10-16
153,33,u153@cloud.local,bill,true,2022-10-16
154,34,u154@cloud.local,bill,false,2022-10-17
155,35,u155@cloud.local,usr,true,2022-10-17
156,36,u156@cloud.local,bill,true,2022-10-18
157,37,u157@cloud.local,adm,true,2022-10-18
158,38,u158@cloud.local,bill,true,2022-10-19
159,39,u159@cloud.local,bill,true,2022-10-19
160,40,u160@cloud.local,bill,true,2022-10-20
161,41,u161@cloud.local,usr,true,2022-10-20
162,42,u162@cloud.local,usr,true,2022-10-21
163,43,u163@cloud.local,bill,true,2022-10-21
164,44,u164@cloud.local,usr,true,2022-10-22
165,45,u165@cloud.local,usr,false,2022-10-22
166,46,u166@cloud.local,bill,true,2022-10-23
167,47,u167@cloud.local,usr,true,2022-10-23
168,48,u168@cloud.local,adm,true,2022-10-24
169,49,u169@cloud.local,usr,true,2022-10-24
170,50,u170@cloud.local,usr,true,2022-10-25
171,51,u171@cloud.local,bill,true,2022-10-25
172,52,u172@cloud.local,usr,true,2022-10-26
173,53,u173@cloud.local,usr,true,2022-10-26
174,54,u174@cloud.local,adm,true,2022-10-27
175,55,u175@cloud.local,usr,true,2022-10-27
176,56,u176@cloud.local,usr,false,2022-10-28
177,57,u177@cloud.local,adm,true,2022-10-28
178,58,u178@cloud.local,bill,true,2022-10-29
179,59,u179@cloud.local,bill,true,2022-10-29
180,60,u180@cloud.local,bill,true,2022-10-30
181,61,u181@cloud.local,usr,true,2022-10-30
182,62,u182@cloud.local,usr,true,2022-10-31
183,63,u183@cloud.local,usr,true,2022-10-31
184,64,u184@cloud.local,bill,true,2022-11-01
185,65,u185@cloud.local,adm,true,2022-11-01
186,66,u186@cloud.local,usr,true,2022-11-02
187,67,u187@cloud.local,bill,false,2022-11-02
188,68,u188@cloud.local,adm,true,2022-11-03
189,69,u189@cloud.local,bill,true,2022-11-03
190,70,u190@cloud.local,usr,true,2022-11-04
191,71,u191@cloud.local,usr,true,2022-11-04
192,72,u192@cloud.local,adm,true,2022-11-05
193,73,u193@cloud.local,bill,true,2022-11-05
194,74,u194@cloud.local,bill,true,2022-11-06
195,75,u195@cloud.local,adm,true,2022-11-06
196,76,u196@cloud.local,usr,true,2022-11-07
197,77,u197@cloud.local,adm,true,2022-11-07
198,78,u198@cloud.local,bill,false,2022-11-08
199,79,u199@cloud.local,bill,true,2022-11-08
200,80,u200@cloud.local,adm,true,2022-11-09
201,81,u201@cloud.local,usr,true,2022-11-09
202,82,u202@cloud.local,usr,true,2022-11-10
203,83,u203@cloud.local,adm,true,2022-11-10
204,84,u204@cloud.local,usr,true,2022-11-11
205,85,u205@cloud.local,usr,true,2022-11-11
206,86,u206@cloud.local,bill,true,2022-11-12
207,87,u207@cloud.local,usr,true,2022-11-12
208,88,u208@cloud.local,usr,true,2022-11-13
209,89,u209@cloud.local,adm,false,2022-11-13
210,90,u210@cloud.local,bill,true,2022-11-14
211,91,u211@cloud.local,bill,true,2022-11-14
212,92,u212@cloud.local,adm,true,2022-11-15
213,93,u213@cloud.local,usr,true,2022-11-15
214,94,u214@cloud.local,usr,true,2022-11-16
215,95,u215@cloud.local,adm,true,2022-11-16
216,96,u216@cloud.local,usr,true,2022-11-17
217,97,u217@cloud.local,adm,true,2022-11-17
218,98,u218@cloud.local,bill,true,2022-11-18
219,99,u219@cloud.local,usr,true,2022-11-18
220,100,u220@cloud.local,adm,false,2022-11-19
221,101,u221@cloud.local,adm,true,2022-11-19
222,102,u222@cloud.local,usr,true,2022-11-20
223,103,u223@cloud.local,usr,true,2022-11-20
224,104,u224@cloud.local,adm,true,2022-11-21
225,105,u225@cloud.local,adm,true,2022-11-21
226,106,u226@cloud.local,adm,true,2022-11-22
227,107,u227@cloud.local,usr,true,2022-11-22
228,108,u228@cloud.local,bill,true,2022-11-23
229,109,u229@cloud.local,bill,true,2022-11-23
230,110,u230@cloud.local,bill,true,2022-11-24
231,111,u231@cloud.local,adm,false,2022-11-24
232,112,u232@cloud.local,bill,true,2022-11-25
233,113,u233@cloud.local,adm,true,2022-11-25
234,114,u234@cloud.local,adm,true,2022-11-26
235,115,u235@cloud.local,adm,true,2022-11-26
236,116,u236@cloud.local,usr,true,2022-11-27
237,117,u237@cloud.local,bill,true,2022-11-27
238,118,u238@cloud.local,bill,true,2022-11-28
239,119,u239@cloud.local,adm,true,2022-11-28
240,120,u240@cloud.local,adm,true,2022-11-29
241,1,u241@cloud.local,adm,true,2022-11-29
242,2,u242@cloud.local,bill,false,2022-11-30
243,3,u243@cloud.local,usr,true,2022-11-30
244,4,u244@cloud.local,bill,true,2022-12-01
245,5,u245@cloud.local,usr,true,2022-12-01
246,6,u246@cloud.local,bill,true,2022-12-02
247,7,u247@cloud.local,usr,true,2022-12-02
248,8,u248@cloud.local,usr,true,2022-12-03
249,9,u249@cloud.local,bill,true,2022-12-03
250,10,u250@cloud.local,bill,true,2022-12-04
251,11,u251@cloud.local,usr,true,2022-12-04
252,12,u252@cloud.local,adm,true,2022-12-05
253,13,u253@cloud.local,usr,false,2022-12-05
254,14,u254@cloud.local,adm,true,2022-12-06
255,15,u255@cloud.local,bill,true,2022-12-06
256,16,u256@cloud.local,bill,true,2022-12-07
257,17,u257@cloud.local,bill,true,2022-12-07
258,18,u258@cloud.local,usr,true,2022-12-08
259,19,u259@cloud.local,bill,true,2022-12-08
260,20,u260@cloud.local,bill,true,2022-12-09
261,21,u261@cloud.local,usr,true,2022-12-09
262,22,u262@cloud.local,adm,true,2022-12-10
263,23,u263@cloud.local,adm,true,2022-12-10
264,24,u264@cloud.local,usr,false,2022-12-11
265,25,u265@cloud.local,usr,true,2022-12-11
266,26,u266@cloud.local,usr,true,2022-12-12
267,27,u267@cloud.local,usr,true,2022-12-12
268,28,u268@cloud.local,adm,true,2022-12-13
269,29,u269@cloud.local,bill,true,2022-12-13
270,30,u270@cloud.local,adm,true,2022-12-14
271,31,u271@cloud.local,bill,true,2022-12-14
272,32,u272@cloud.local,bill,true,2022-12-15
273,33,u273@cloud.local,bill,true,2022-12-15
274,34,u274@cloud.local,adm,true,2022-12-16
275,35,u275@cloud.local,bill,false,2022-12-16
276,36,u276@cloud.local,adm,true,2022-12-17
277,37,u277@cloud.local,usr,true,2022-12-17
278,38,u278@cloud.local,bill,true,2022-12-18
279,39,u279@cloud.local,bill,true,2022-12-18
280,40,u280@cloud.local,bill,true,2022-12-19
281,41,u281@cloud.local,adm,true,2022-12-19
282,42,u282@cloud.local,adm,true,2022-12-20
283,43,u283@cloud.local,adm,true,2022-12-20
284,44,u284@cloud.local,bill,true,2022-12-21
285,45,u285@cloud.local,usr,true,2022-12-21
286,46,u286@cloud.local,bill,false,2022-12-22
287,47,u287@cloud.local,adm,true,2022-12-22
288,48,u288@cloud.local,bill,true,2022-12-23
289,49,u289@cloud.local,bill,true,2022-12-23
290,50,u290@cloud.local,bill,true,2022-12-24
291,51,u291@cloud.local,usr,true,2022-12-24
292,52,u292@cloud.local,adm,true,2022-12-25
293,53,u293@cloud.local,bill,true,2022-12-25
294,54,u294@cloud.local,usr,true,2022-12-26
295,55,u295@cloud.local,usr,true,2022-12-26
296,56,u296@cloud.local,bill,true,2022-12-27
297,57,u297@cloud.local,bill,false,2022-12-27
298,58,u298@cloud.local,bill,true,2022-12-28
299,59,u299@cloud.local,adm,true,2022-12-28
300,60,u300@cloud.local,adm,true,2022-12-29
301,61,u301@cloud.local,usr,true,2022-12-29
302,62,u302@cloud.local,bill,true,2022-12-30
303,63,u303@cloud.local,usr,true,2022-12-30
304,64,u304@cloud.local,usr,true,2022-12-31
305,65,u305@cloud.local,bill,true,2022-12-31
306,66,u306@cloud.local,usr,true,2023-01-01
307,67,u307@cloud.local,bill,true,2023-01-01
308,68,u308@cloud.local,adm,false,2023-01-02
309,69,u309@cloud.local,bill,true,2023-01-02
310,70,u310@cloud.local,bill,true,2023-01-03
311,71,u311@cloud.local,bill,true,2023-01-03
312,72,u312@cloud.local,bill,true,2023-01-04
313,73,u313@cloud.local,adm,true,2023-01-04
314,74,u314@cloud.local,bill,true,2023-01-05
315,75,u315@cloud.local,bill,true,2023-01-05
316,76,u316@cloud.local,usr,true,2023-01-06
317,77,u317@cloud.local,usr,true,2023-01-06
318,78,u318@cloud.local,adm,true,2023-01-07
319,79,u319@cloud.local,usr,false,2023-01-07
320,80,u320@cloud.local,adm,true,2023-01-08
321,81,u321@cloud.local,usr,true,2023-01-08
322,82,u322@cloud.local,bill,true,2023-01-09
323,83,u323@cloud.local,usr,true,2023-01-09
324,84,u324@cloud.local,bill,true,2023-01-10
325,85,u325@cloud.local,usr,true,2023-01-10
326,86,u326@cloud.local,bill,true,2023-01-11
327,87,u327@cloud.local,bill,true,2023-01-11
328,88,u328@cloud.local,adm,true,2023-01-12
329,89,u329@cloud.local,bill,true,2023-01-12
330,90,u330@cloud.local,adm,false,2023-01-13
331,91,u331@cloud.local,bill,true,2023-01-13
332,92,u332@cloud.local,adm,true,2023-01-14
333,93,u333@cloud.local,adm,true,2023-01-14
334,94,u334@cloud.local,bill,true,2023-01-15
335,95,u335@cloud.local,bill,true,2023-01-15
336,96,u336@cloud.local,usr,true,2023-01-16
337,97,u337@cloud.local,bill,true,2023-01-16
338,98,u338@cloud.local,usr,true,2023-01-17
339,99,u339@cloud.local,bill,true,2023-01-17
340,100,u340@cloud.local,adm,true,2023-01-18
341,101,u341@cloud.local,bill,false,2023-01-18
342,102,u342@cloud.local,usr,true,2023-01-19
343,103,u343@cloud.local,adm,true,2023-01-19
344,104,u344@cloud.local,adm,true,2023-01-20
345,105,u345@cloud.local,usr,true,2023-01-20
346,106,u346@cloud.local,bill,true,2023-01-21
347,107,u347@cloud.local,usr,true,2023-01-21
348,108,u348@cloud.local,adm,true,2023-01-22
349,109,u349@cloud.local,bill,true,2023-01-22
350,110,u350@cloud.local,bill,true,2023-01-23
351,111,u351@cloud.local,usr,true,2023-01-23
352,112,u352@cloud.local,adm,false,2023-01-24
353,113,u353@cloud.local,bill,true,2023-01-24
354,114,u354@cloud.local,bill,true,2023-01-25
355,115,u355@cloud.local,bill,true,2023-01-25
356,116,u356@cloud.local,usr,true,2023-01-26
357,117,u357@cloud.local,bill,true,2023-01-26
358,118,u358@cloud.local,bill,true,2023-01-27
359,119,u359@cloud.local,usr,true,2023-01-27
360,120,u360@cloud.local,adm,true,2023-01-28
361,1,u361@cloud.local,bill,true,2023-01-28
362,2,u362@cloud.local,usr,true,2023-01-29
363,3,u363@cloud.local,bill,false,2023-01-29
364,4,u364@cloud.local,usr,true,2023-01-30
365,5,u365@cloud.local,bill,true,2023-01-30
366,6,u366@cloud.local,bill,true,2023-01-31
367,7,u367@cloud.local,adm,true,2023-01-31
368,8,u368@cloud.local,usr,true,2023-02-01
369,9,u369@cloud.local,usr,true,2023-02-01
370,10,u370@cloud.local,adm,true,2023-02-02
371,11,u371@cloud.local,adm,true,2023-02-02
372,12,u372@cloud.local,bill,true,2023-02-03
373,13,u373@cloud.local,bill,true,2023-02-03
374,14,u374@cloud.local,bill,false,2023-02-04
375,15,u375@cloud.local,adm,true,2023-02-04
376,16,u376@cloud.local,usr,true,2023-02-05
377,17,u377@cloud.local,bill,true,2023-02-05
378,18,u378@cloud.local,usr,true,2023-02-06
379,19,u379@cloud.local,adm,true,2023-02-06
380,20,u380@cloud.local,usr,true,2023-02-07
381,21,u381@cloud.local,usr,true,2023-02-07
382,22,u382@cloud.local,bill,true,2023-02-08
383,23,u383@cloud.local,adm,true,2023-02-08
384,24,u384@cloud.local,adm,true,2023-02-09
385,25,u385@cloud.local,adm,false,2023-02-09
386,26,u386@cloud.local,adm,true,2023-02-10
387,27,u387@cloud.local,bill,true,2023-02-10
388,28,u388@cloud.local,bill,true,2023-02-11
389,29,u389@cloud.local,adm,true,2023-02-11
390,30,u390@cloud.local,bill,true,2023-02-12
391,31,u391@cloud.local,adm,true,2023-02-12
392,32,u392@cloud.local,bill,true,2023-02-13
393,33,u393@cloud.local,usr,true,2023-02-13
394,34,u394@cloud.local,bill,true,2023-02-14
395,35,u395@cloud.local,adm,true,2023-02-14
396,36,u396@cloud.local,adm,false,2023-02-15
397,37,u397@cloud.local,bill,true,2023-02-15
398,38,u398@cloud.local,bill,true,2023-02-16
399,39,u399@cloud.local,adm,true,2023-02-16
400,40,u400@cloud.local,bill,true,2023-02-17
401,41,u401@cloud.local,usr,true,2023-02-17
402,42,u402@cloud.local,usr,true,2023-02-18
403,43,u403@cloud.local,bill,true,2023-02-18
404,44,u404@cloud.local,bill,true,2023-02-19
405,45,u405@cloud.local,usr,true,2023-02-19
406,46,u406@cloud.local,adm,true,2023-02-20
407,47,u407@cloud.local,bill,false,2023-02-20
408,48,u408@cloud.local,usr,true,2023-02-21
409,49,u409@cloud.local,adm,true,2023-02-21
410,50,u410@cloud.local,usr,true,2023-02-22
411,51,u411@cloud.local,adm,true,2023-02-22
412,52,u412@cloud.local,usr,true,2023-02-23
413,53,u413@cloud.local,usr,true,2023-02-23
414,54,u414@cloud.local,usr,true,2023-02-24
415,55,u415@cloud.local,usr,true,2023-02-24
416,56,u416@cloud.local,usr,true,2023-02-25
417,57,u417@cloud.local,bill,true,2023-02-25
418,58,u418@cloud.local,adm,false,2023-02-26
419,59,u419@cloud.local,usr,true,2023-02-26
420,60,u420@cloud.local,bill,true,2023-02-27
421,61,u421@cloud.local,bill,true,2023-02-27
422,62,u422@cloud.local,bill,true,2023-02-28
423,63,u423@cloud.local,adm,true,2023-02-28
424,64,u424@cloud.local,usr,true,2023-03-01
425,65,u425@cloud.local,usr,true,2023-03-01
426,66,u426@cloud.local,bill,true,2023-03-02
427,67,u427@cloud.local,adm,true,2023-03-02
428,68,u428@cloud.local,bill,true,2023-03-03
429,69,u429@cloud.local,usr,false,2023-03-03
430,70,u430@cloud.local,adm,true,2023-03-04
431,71,u431@cloud.local,adm,true,2023-03-04
432,72,u432@cloud.local,bill,true,2023-03-05
433,73,u433@cloud.local,adm,true,2023-03-05
434,74,u434@cloud.local,adm,true,2023-03-06
435,75,u435@cloud.local,adm,true,2023-03-06
436,76,u436@cloud.local,adm,true,2023-03-07
437,77,u437@cloud.local,bill,true,2023-03-07
438,78,u438@cloud.local,bill,true,2023-03-08
439,79,u439@cloud.local,usr,true,2023-03-08
440,80,u440@cloud.local,adm,false,2023-03-09
441,81,u441@cloud.local,usr,true,2023-03-09
442,82,u442@cloud.local,usr,true,2023-03-10
443,83,u443@cloud.local,usr,true,2023-03-10
444,84,u444@cloud.local,adm,true,2023-03-11
445,85,u445@cloud.local,usr,true,2023-03-11
446,86,u446@cloud.local,bill,true,2023-03-12
447,87,u447@cloud.local,adm,true,2023-03-12
448,88,u448@cloud.local,bill,true,2023-03-13
449,89,u449@cloud.local,bill,true,2023-03-13
450,90,u450@cloud.local,usr,true,2023-03-14
451,91,u451@cloud.local,adm,false,2023-03-14
452,92,u452@cloud.local,usr,true,2023-03-15
453,93,u453@cloud.local,usr,true,2023-03-15
454,94,u454@cloud.local,bill,true,2023-03-16
455,95,u455@cloud.local,usr,true,2023-03-16
456,96,u456@cloud.local,usr,true,2023-03-17
457,97,u457@cloud.local,adm,true,2023-03-17
458,98,u458@cloud.local,usr,true,2023-03-18
459,99,u459@cloud.local,bill,true,2023-03-18
460,100,u460@cloud.local,usr,true,2023-03-19
461,101,u461@cloud.local,adm,true,2023-03-19
462,102,u462@cloud.local,bill,false,2023-03-20
463,103,u463@cloud.local,usr,true,2023-03-20
464,104,u464@cloud.local,adm,true,2023-03-21
465,105,u465@cloud.local,usr,true,2023-03-21
466,106,u466@cloud.local,usr,true,2023-03-22
467,107,u467@cloud.local,usr,true,2023-03-22
468,108,u468@cloud.local,adm,true,2023-03-23
469,109,u469@cloud.local,adm,true,2023-03-23
470,110,u470@cloud.local,usr,true,2023-03-24
471,111,u471@cloud.local,usr,true,2023-03-24
472,112,u472@cloud.local,adm,true,2023-03-25
473,113,u473@cloud.local,usr,false,2023-03-25
474,114,u474@cloud.local,adm,true,2023-03-26
475,115,u475@cloud.local,bill,true,2023-03-26
476,116,u476@cloud.local,adm,true,2023-03-27
477,117,u477@cloud.local,adm,true,2023-03-27
478,118,u478@cloud.local,adm,true,2023-03-28
479,119,u479@cloud.local,bill,true,2023-03-28
480,120,u480@cloud.local,bill,true,2023-03-29
481,1,u481@cloud.local,adm,true,2023-03-29
482,2,u482@cloud.local,usr,true,2023-03-30
483,3,u483@cloud.local,adm,true,2023-03-30
484,4,u484@cloud.local,usr,false,2023-03-31
485,5,u485@cloud.local,bill,true,2023-03-31
486,6,u486@cloud.local,usr,true,2023-04-01
487,7,u487@cloud.local,bill,true,2023-04-01
488,8,u488@cloud.local,usr,true,2023-04-02
489,9,u489@cloud.local,adm,true,2023-04-02
490,10,u490@cloud.local,bill,true,2023-04-03
491,11,u491@cloud.local,bill,true,2023-04-03
492,12,u492@cloud.local,adm,true,2023-04-04
493,13,u493@cloud.local,bill,true,2023-04-04
494,14,u494@cloud.local,usr,true,2023-04-05
495,15,u495@cloud.local,bill,false,2023-04-05
496,16,u496@cloud.local,adm,true,2023-04-06
497,17,u497@cloud.local,usr,true,2023-04-06
498,18,u498@cloud.local,usr,true,2023-04-07
499,19,u499@cloud.local,bill,true,2023-04-07
500,20,u500@cloud.local,bill,true,2023-04-08
501,21,u501@cloud.local,usr,true,2023-04-08
502,22,u502@cloud.local,adm,true,2023-04-09
503,23,u503@cloud.local,usr,true,2023-04-09
504,24,u504@cloud.local,usr,true,2023-04-10
505,25,u505@cloud.local,bill,true,2023-04-10
506,26,u506@cloud.local,bill,false,2023-04-11
507,27,u507@cloud.local,usr,true,2023-04-11
508,28,u508@cloud.local,adm,true,2023-04-12
509,29,u509@cloud.local,bill,true,2023-04-12
510,30,u510@cloud.local,usr,true,2023-04-13
511,31,u511@cloud.local,bill,true,2023-04-13
512,32,u512@cloud.local,adm,true,2023-04-14
513,33,u513@cloud.local,usr,true,2023-04-14
514,34,u514@cloud.local,bill,true,2023-04-15
515,35,u515@cloud.local,bill,true,2023-04-15
516,36,u516@cloud.local,adm,true,2023-04-16
517,37,u517@cloud.local,usr,false,2023-04-16
518,38,u518@cloud.local,bill,true,2023-04-17
519,39,u519@cloud.local,adm,true,2023-04-17
520,40,u520@cloud.local,bill,true,2023-04-18
521,41,u521@cloud.local,bill,true,2023-04-18
522,42,u522@cloud.local,bill,true,2023-04-19
523,43,u523@cloud.local,usr,true,2023-04-19
524,44,u524@cloud.local,usr,true,2023-04-20
525,45,u525@cloud.local,adm,true,2023-04-20
526,46,u526@cloud.local,usr,true,2023-04-21
527,47,u527@cloud.local,bill,true,2023-04-21
528,48,u528@cloud.local,usr,false,2023-04-22
529,49,u529@cloud.local,adm,true,2023-04-22
530,50,u530@cloud.local,adm,true,2023-04-23
531,51,u531@cloud.local,bill,true,2023-04-23
532,52,u532@cloud.local,bill,true,2023-04-24
533,53,u533@cloud.local,adm,true,2023-04-24
534,54,u534@cloud.local,bill,true,2023-04-25
535,55,u535@cloud.local,bill,true,2023-04-25
536,56,u536@cloud.local,bill,true,2023-04-26
537,57,u537@cloud.local,usr,true,2023-04-26
538,58,u538@cloud.local,adm,true,2023-04-27
539,59,u539@cloud.local,bill,false,2023-04-27
540,60,u540@cloud.local,adm,true,2023-04-28
541,61,u541@cloud.local,bill,true,2023-04-28
542,62,u542@cloud.local,usr,true,2023-04-29
543,63,u543@cloud.local,usr,true,2023-04-29
544,64,u544@cloud.local,bill,true,2023-04-30
545,65,u545@cloud.local,adm,true,2023-04-30
546,66,u546@cloud.local,usr,true,2023-05-01
547,67,u547@cloud.local,bill,true,2023-05-01
548,68,u548@cloud.local,bill,true,2023-05-02
549,69,u549@cloud.local,bill,true,2023-05-02
550,70,u550@cloud.local,adm,false,2023-05-03
551,71,u551@cloud.local,adm,true,2023-05-03
552,72,u552@cloud.local,usr,true,2023-05-04
553,73,u553@cloud.local,usr,true,2023-05-04
554,74,u554@cloud.local,bill,true,2023-05-05
555,75,u555@cloud.local,bill,true,2023-05-05
556,76,u556@cloud.local,adm,true,2023-05-06
557,77,u557@cloud.local,usr,true,2023-05-06
